"rank","timestamp"
"838","2019-09-03 11:45:00"
"837","2019-09-03 11:50:00"
"836","2019-09-03 11:55:00"
"835","2019-09-03 12:00:00"
"834","2019-09-03 12:05:09"
"833","2019-09-03 12:10:18"
"832","2019-09-03 12:15:27"
"831","2019-09-03 12:20:36"
"830","2019-09-03 12:25:45"
"829","2019-09-03 12:30:54"
"828","2019-09-03 12:36:03"
"827","2019-09-03 12:41:12"
"826","2019-09-03 12:46:21"
"825","2019-09-03 12:51:30"
"824","2019-09-03 12:56:39"
"823","2019-09-03 13:01:48"
"822","2019-09-03 13:06:57"
"821","2019-09-03 13:12:06"
"820","2019-09-03 13:17:15"
"819","2019-09-03 13:22:24"
"818","2019-09-03 13:27:33"
"817","2019-09-03 13:32:42"
"816","2019-09-03 13:37:51"
"815","2019-09-03 13:43:00"
"814","2019-09-03 13:48:09"
"813","2019-09-03 13:53:18"
"812","2019-09-03 13:58:27"
"811","2019-09-03 14:03:36"
"810","2019-09-03 14:03:45"
"809","2019-09-03 14:09:54"
"808","2019-09-03 14:16:03"
"807","2019-09-03 14:22:12"
"806","2019-09-03 14:28:21"
"805","2019-09-03 14:34:30"
"804","2019-09-03 14:40:39"
"803","2019-09-03 14:46:48"
"802","2019-09-03 14:52:57"
"801","2019-09-03 14:59:06"
"800","2019-09-03 15:05:15"
"799","2019-09-03 15:11:32"
"798","2019-09-03 15:17:49"
"797","2019-09-03 15:24:06"
"796","2019-09-03 15:30:23"
"795","2019-09-03 15:36:40"
"794","2019-09-03 15:42:57"
"793","2019-09-03 15:49:14"
"792","2019-09-03 16:00:00"
"791","2019-09-03 16:06:17"
"790","2019-09-03 16:12:34"
"789","2019-09-03 16:18:51"
"788","2019-09-03 16:25:08"
"787","2019-09-03 16:31:25"
"786","2019-09-03 16:37:42"
"785","2019-09-03 16:43:59"
"784","2019-09-03 16:50:16"
"783","2019-09-03 16:56:33"
"782","2019-09-03 17:02:50"
"781","2019-09-03 17:09:07"
"780","2019-09-03 17:15:24"
"779","2019-09-03 17:21:41"
"778","2019-09-03 17:27:58"
"777","2019-09-03 17:34:15"
"776","2019-09-03 17:40:32"
"775","2019-09-03 17:46:49"
"774","2019-09-04 08:05:00"
"773","2019-09-04 08:17:00"
"772","2019-09-04 08:29:00"
"771","2019-09-04 08:41:00"
"770","2019-09-04 08:53:00"
"769","2019-09-04 09:05:00"
"768","2019-09-04 09:10:52"
"767","2019-09-04 09:16:43"
"766","2019-09-04 09:22:35"
"765","2019-09-04 09:28:27"
"764","2019-09-04 09:34:19"
"763","2019-09-04 09:40:11"
"762","2019-09-04 09:46:03"
"761","2019-09-04 09:51:55"
"760","2019-09-04 09:57:47"
"759","2019-09-04 10:03:39"
"758","2019-09-04 10:09:31"
"757","2019-09-04 10:15:23"
"756","2019-09-04 10:21:15"
"755","2019-09-04 10:27:07"
"754","2019-09-04 10:32:59"
"753","2019-09-04 10:38:51"
"752","2019-09-04 10:44:43"
"751","2019-09-04 10:50:35"
"750","2019-09-04 10:56:27"
"749","2019-09-04 11:06:19"
"748","2019-09-04 11:08:11"
"747","2019-09-04 11:14:03"
"746","2019-09-04 11:19:55"
"745","2019-09-04 11:25:47"
"744","2019-09-04 11:31:39"
"743","2019-09-04 11:37:31"
"742","2019-09-04 11:43:23"
"741","2019-09-04 11:49:15"
"740","2019-09-04 11:55:07"
"739","2019-09-04 12:00:59"
"738","2019-09-04 12:12:59"
"737","2019-09-04 12:21:59"
"736","2019-09-04 12:27:51"
"735","2019-09-04 12:32:17"
"734","2019-09-04 12:38:43"
"733","2019-09-04 12:45:09"
"732","2019-09-04 12:51:35"
"731","2019-09-04 12:58:01"
"730","2019-09-04 13:04:27"
"729","2019-09-04 13:10:53"
"728","2019-09-04 13:18:19"
"727","2019-09-04 13:25:45"
"726","2019-09-04 13:30:11"
"725","2019-09-04 13:36:37"
"724","2019-09-04 13:43:03"
"723","2019-09-04 13:49:29"
"722","2019-09-04 13:55:55"
"721","2019-09-04 14:02:21"
"720","2019-09-04 14:08:47"
"719","2019-09-04 14:15:13"
"718","2019-09-04 14:21:39"
"717","2019-09-04 14:28:05"
"716","2019-09-04 14:30:31"
"715","2019-09-04 14:31:57"
"714","2019-09-04 14:35:23"
"713","2019-09-04 14:53:49"
"712","2019-09-04 15:00:15"
"711","2019-09-04 15:06:41"
"710","2019-09-04 15:13:07"
