name,name,length,played_time
Jeff Healy Band,While My Guitar Gently Weeps,315,2021-09-01 10:31:54+12
The Pogues,Fairytale Of New York,269,2021-09-01 10:36:54+12
Goodshirt,Fiji Baby,183,2021-09-01 10:46:11+12
The Who,Won't Get Fooled Again,506,2021-09-01 10:49:18+12
Megadeth,Almost Honest,232,2021-09-01 11:02:52+12
Creedence Clearwater Revival,Fortunate Son,135,2021-09-01 11:07:16+12
Reef,Place Your Hands,215,2021-09-01 11:09:35+12
Rolling Stones,Brown Sugar,226,2021-09-01 11:13:36+12
Blacklistt,Always,202,2021-09-01 11:18:20+12
Simple Minds,Don't You (Forget About Me),257,2021-09-01 11:21:45+12
Alice In Chains,Dam That River,188,2021-09-01 11:26:07+12
Starship,We Built This City,265,2021-09-01 11:30:18+12
Sammy Hagar,Little White Lie,173,2021-09-01 11:35:17+12
The Angels,Am I Ever Gonna See Your Face Again,196,2021-09-01 11:38:27+12
The D4,Heartbreaker,267,2021-09-01 11:47:20+12
Coldplay,God Put A Smile On Your Face,289,2021-09-01 11:51:48+12
Dire Straits,Industrial Disease,344,2021-09-01 12:02:34+12
Cracker,Low,223,2021-09-01 12:08:20+12
Gary Moore,Out In The Fields,258,2021-09-01 12:12:20+12
Hozier,Take Me To Church,241,2021-09-01 12:16:44+12
INXS,Devil Inside,307,2021-09-01 12:21:33+12
Green Day,Warning,221,2021-09-01 12:26:39+12
Led Zeppelin,The Battle Of Evermore,352,2021-09-01 12:30:25+12
White Stripes,The Hardest Button To Button,211,2021-09-01 12:35:48+12
Queen,You're My Best Friend,188,2021-09-01 12:40:21+12
Disturbed,Warrior,202,2021-09-01 12:43:18+12
Sex Pistols,Pretty Vacant,197,2021-09-01 12:51:54+12
A Perfect Circle,Magdelena,244,2021-09-01 12:55:19+12
The Clash,Bankrobber,272,2021-09-01 13:04:47+12
Kyuss,Green Machine,217,2021-09-01 13:09:19+12
AC/DC,Shot Down In Flames,202,2021-09-01 13:12:57+12
Sevendust,Licking Cream,196,2021-09-01 13:16:24+12
Aerosmith,Dude Looks Like A Lady (Live),256,2021-09-01 13:20:47+12
Shihad,Tear Down Those Names,240,2021-09-01 13:25:26+12
Kiss,Crazy Crazy Nights,221,2021-09-01 13:29:29+12
The White Stripes,Blue Orchid,151,2021-09-01 13:33:38+12
Midnight Oil,Blue Sky Mine,255,2021-09-01 13:36:15+12
Audioslave,Original Fire,215,2021-09-01 13:40:34+12
Pat Benatar,Hit Me With Your Best Shot,169,2021-09-01 13:49:22+12
Faith No More,Ricochet,268,2021-09-01 13:52:18+12
The Beatles,Get Back,187,2021-09-01 14:01:59+12
The Raconteurs,Carolina Drama,352,2021-09-01 14:05:11+12
Goo Goo Dolls,Slide,211,2021-09-01 14:11:08+12
AC/DC,Sink The Pink,254,2021-09-01 14:15:18+12
Red Hot Chili Peppers,Desecration Smile,259,2021-09-01 14:19:43+12
Alice Cooper,School's Out,206,2021-09-01 14:24:00+12
Alanis Morissette,Hand In My Pocket,213,2021-09-01 14:27:43+12
Peter Gabriel,Sledgehammer,279,2021-09-01 14:32:12+12
The Presidents Of The United States Of America,Lump,131,2021-09-01 14:36:58+12
