"rank","title","album","artist","albumYear","rankOneYearAgo","timestamp","albumArt"
"106","Are You Old Enough","","Dragon","","","2020-10-26 07:00:42","https://cdn.mediaworks.nz/radio/song/images/are_you_old_enough_400_dragon.jpg?width=400&height=400&crop=auto"
"107","Animal","","Def Leppard","","","2020-10-26 06:55:04","https://cdn.mediaworks.nz/radio/song/images/animal_400_def_leppard.jpg?width=400&height=400&crop=auto"
"108","Solid Rock","","Dire Straits","","","2020-10-26 06:49:26","https://cdn.mediaworks.nz/radio/song/images/solid_rock_400_dire_straits.jpg?width=400&height=400&crop=auto"
"109","Africa","","Toto","","","2020-10-26 06:43:48","https://cdn.mediaworks.nz/radio/song/images/africa_400_toto.jpg?width=400&height=400&crop=auto"
"110","Into The Great Wide Open","","Tom Petty & the Hear...","","","2020-10-26 06:38:10","https://cdn.mediaworks.nz/radio/song/images/into_the_great_wide_open_400_tom_petty_the_hear_.jpg?width=400&height=400&crop=auto"
"111","Candle In The Wind","","Elton John","","","2020-10-26 06:32:32","https://cdn.mediaworks.nz/radio/song/images/candle_in_the_wind_400_elton_john.jpg?width=400&height=400&crop=auto"
"112","The Man Who Sold The World","","David Bowie","","","2020-10-26 06:26:54","https://cdn.mediaworks.nz/radio/song/images/the_man_who_sold_the_world_400_david_bowie.jpg?width=400&height=400&crop=auto"
"113","Gutter Black","","Hello Sailor","","","2020-10-26 06:21:16","https://cdn.mediaworks.nz/radio/song/images/gutter_black_400_hello_sailor.jpg?width=400&height=400&crop=auto"
"114","While My Guitar Gently Weeps","","Beatles","","","2020-10-26 06:15:38","https://cdn.mediaworks.nz/radio/song/images/while_my_guitar_gently_weeps_400_beatles.jpg?width=400&height=400&crop=auto"
"115","We Will Rock You","","Queen","","","2020-10-26 06:10:00","https://cdn.mediaworks.nz/radio/song/images/we_will_rock_you_400_queen.jpg?width=400&height=400&crop=auto"
"116","Run Like Hell","","Pink Floyd","","","2020-10-25 19:15:00","https://cdn.mediaworks.nz/radio/song/images/run_like_hell_400_pink_floyd.jpg?width=400&height=400&crop=auto"
"117","Reckless (Don't Be So)","","Australian Crawl","","","2020-10-25 19:10:00","https://cdn.mediaworks.nz/radio/song/images/reckless_don_t_be_so__400_australian_crawl.jpg?width=400&height=400&crop=auto"
"118","Penny Lane","","Beatles","","","2020-10-25 19:05:00","https://cdn.mediaworks.nz/radio/song/images/penny_lane_400_beatles.jpg?width=400&height=400&crop=auto"
"119","So Far Away","","Dire Straits","","","2020-10-25 19:00:00","https://cdn.mediaworks.nz/radio/song/images/so_far_away_400_dire_straits.jpg?width=400&height=400&crop=auto"
"120","Killer Queen","","Queen","","","2020-10-25 18:55:00","https://cdn.mediaworks.nz/radio/song/images/killer_queen_400_queen.jpg?width=400&height=400&crop=auto"
"121","Khe Sanh","","Cold Chisel","","","2020-10-25 18:50:00","https://cdn.mediaworks.nz/radio/song/images/khe_sanh_400_cold_chisel.jpg?width=400&height=400&crop=auto"
"122","La Grange","","ZZ Top","","","2020-10-25 18:45:00","https://cdn.mediaworks.nz/radio/song/images/la_grange_400_zz_top.jpg?width=400&height=400&crop=auto"
"123","Goodbye Yellow Brick Road","","Elton John","","","2020-10-25 18:40:00","https://cdn.mediaworks.nz/radio/song/images/goodbye_yellow_brick_road_400_elton_john.jpg?width=400&height=400&crop=auto"
"124","Money For Nothing","","Dire Straits","","","2020-10-25 18:35:00","https://cdn.mediaworks.nz/radio/song/images/money_for_nothing_400_dire_straits.jpg?width=400&height=400&crop=auto"
"125","Going To California","","Led Zeppelin","","","2020-10-25 18:30:00","https://cdn.mediaworks.nz/radio/song/images/going_to_california_400_led_zeppelin.jpg?width=400&height=400&crop=auto"
"126","White Room","","Cream","","","2020-10-25 18:25:00","https://cdn.mediaworks.nz/radio/song/images/white_room_400_cream.jpg?width=400&height=400&crop=auto"
"127","Stop Draggin' My Heart","","Stevie Nicks & Tom Pe...","","","2020-10-25 18:20:00","https://cdn.mediaworks.nz/thesound/Content/apps/theme/images/thesound_square4x.png?width=400&height=400&crop=auto"
"128","Black Night","","Deep Purple","","","2020-10-25 18:15:00","https://cdn.mediaworks.nz/radio/song/images/black_night_400_deep_purple.jpg?width=400&height=400&crop=auto"
"129","Wild Horses","","Rolling Stones","","","2020-10-25 18:10:00","https://cdn.mediaworks.nz/radio/song/images/wild_horses_400_rolling_stones.jpg?width=400&height=400&crop=auto"
